"","date","group","antipsychotic_any","antipsychotics_first_gen","antipsychotics_second_gen","antipsychotics_injectable_and_depot","prochlorperazine","alive_2weeks_post_antipsychotic","antipsychotic_without_midazolam","population"
"65",2021-05-01,"dementia",19870,1645,17485,110,865,19870,19220,227015
"66",2021-06-01,"dementia",20805,1715,18270,120,945,20805,20090,229675
"67",2021-07-01,"dementia",21260,1755,18630,110,1020,21260,20535,232045
"68",2021-08-01,"dementia",20815,1705,18285,120,930,20815,20105,234355
"69",2021-09-01,"dementia",21560,1710,18940,125,1025,21560,20865,235780
"70",2021-10-01,"dementia",21590,1755,18990,115,975,21590,20805,237615
"71",2021-11-01,"dementia",22050,1825,19385,120,1000,22050,21225,239495
"72",2021-12-01,"dementia",22425,1950,19645,115,1010,22425,21460,240445
"73",2019-01-01,"care_home",19085,2620,15985,565,605,19085,18560,125400
"74",2019-02-01,"care_home",18185,2515,15235,530,520,18185,17635,125590
"75",2019-03-01,"care_home",19010,2610,15955,550,575,19010,18510,125640
"76",2019-04-01,"care_home",19255,2675,16145,550,565,19255,18710,126395
"77",2019-05-01,"care_home",19575,2670,16495,550,555,19575,19035,126980
"78",2019-06-01,"care_home",19200,2550,16205,550,560,19200,18770,127330
"79",2019-07-01,"care_home",19875,2665,16770,560,585,19875,19295,127830
"80",2019-08-01,"care_home",19830,2655,16740,555,575,19830,19295,128920
"81",2019-09-01,"care_home",19800,2595,16745,565,570,19800,19275,130185
"82",2019-10-01,"care_home",20610,2740,17400,580,590,20610,19975,131860
"83",2019-11-01,"care_home",20625,2720,17440,570,575,20625,19975,133490
"84",2019-12-01,"care_home",20355,2705,17245,535,525,20355,19690,134235
"85",2020-01-01,"care_home",20895,2735,17720,585,585,20895,20230,135070
"86",2020-02-01,"care_home",20470,2615,17405,580,560,20470,19875,134660
"87",2020-03-01,"care_home",21155,2835,17875,585,575,21155,20280,135580
"88",2020-04-01,"care_home",21455,3555,17475,585,665,21455,19580,136925
"89",2020-05-01,"care_home",20300,2755,17075,560,645,20300,19400,134355
"90",2020-06-01,"care_home",20710,2585,17650,600,590,20710,20110,132305
"91",2020-07-01,"care_home",22110,2715,18915,620,595,22110,21535,136615
"92",2020-08-01,"care_home",22400,2740,19165,615,590,22400,21855,141240
"93",2020-09-01,"care_home",23605,2855,20210,650,645,23605,22975,144925
"94",2020-10-01,"care_home",24275,2965,20750,680,670,24275,23530,148745
"95",2020-11-01,"care_home",24470,2995,20915,680,670,24470,23670,152375
"96",2020-12-01,"care_home",25660,3230,21865,715,695,25660,24735,156405
"97",2021-01-01,"care_home",26525,3595,22315,720,790,26525,25185,163595
"98",2021-02-01,"care_home",26235,3165,22490,680,725,26235,25420,167275
"99",2021-03-01,"care_home",27455,3215,23600,765,780,27455,26745,166580
"100",2021-04-01,"care_home",27185,3065,23525,760,705,27185,26600,167490
"101",2021-05-01,"care_home",27300,3065,23635,760,700,27300,26655,168545
"102",2021-06-01,"care_home",28190,3140,24410,765,760,28190,27505,170070
"103",2021-07-01,"care_home",28860,3225,24930,775,810,28860,28115,172195
"104",2021-08-01,"care_home",28490,3145,24640,790,775,28490,27815,173805
"105",2021-09-01,"care_home",29545,3255,25565,780,820,29545,28795,175300
"106",2021-10-01,"care_home",29945,3325,25885,780,860,29945,29135,178435
"107",2021-11-01,"care_home",30660,3345,26580,810,860,30660,29860,181100
"108",2021-12-01,"care_home",31530,3555,27160,865,935,31530,30545,183605
"109",2019-01-01,"learning_disability",17625,2670,15020,340,295,17625,17605,138790
"110",2019-02-01,"learning_disability",16810,2525,14355,320,255,16810,16790,139995
"111",2019-03-01,"learning_disability",17595,2645,15030,350,270,17595,17575,141070
"112",2019-04-01,"learning_disability",17770,2625,15190,345,270,17770,17755,142255
"113",2019-05-01,"learning_disability",18080,2660,15480,350,285,18080,18060,143075
"114",2019-06-01,"learning_disability",17805,2585,15315,345,250,17805,17790,143910
"115",2019-07-01,"learning_disability",18430,2660,15855,350,285,18430,18410,144735
"116",2019-08-01,"learning_disability",18230,2625,15675,350,275,18230,18215,145750
"117",2019-09-01,"learning_disability",18105,2590,15570,345,280,18105,18100,146705
"118",2019-10-01,"learning_disability",18745,2685,16115,355,305,18745,18730,147745
"119",2019-11-01,"learning_disability",18615,2630,16040,350,275,18615,18595,148835
"120",2019-12-01,"learning_disability",18685,2615,16115,335,295,18685,18670,149920
"121",2020-01-01,"learning_disability",19125,2670,16460,385,320,19125,19100,150770
"122",2020-02-01,"learning_disability",18630,2580,16110,355,260,18630,18620,151840
"123",2020-03-01,"learning_disability",19620,2675,16995,360,310,19620,19585,152960
"124",2020-04-01,"learning_disability",18980,2615,16420,360,270,18980,18930,153835
"125",2020-05-01,"learning_disability",19085,2590,16545,345,275,19085,19050,153975
"126",2020-06-01,"learning_disability",19335,2610,16760,345,290,19335,19320,154250
"127",2020-07-01,"learning_disability",19640,2610,17075,335,300,19640,19625,155000
"128",2020-08-01,"learning_disability",19345,2580,16800,360,270,19345,19330,156150
"129",2020-09-01,"learning_disability",19875,2645,17285,350,300,19875,19865,157340
"130",2020-10-01,"learning_disability",20060,2620,17490,350,290,20060,20045,159030
"131",2020-11-01,"learning_disability",19910,2620,17330,350,315,19910,19890,160760
"132",2020-12-01,"learning_disability",20415,2650,17825,355,295,20415,20395,162745
"133",2021-01-01,"learning_disability",20275,2630,17690,360,300,20275,20245,163960
"134",2021-02-01,"learning_disability",20115,2585,17570,335,315,20115,20095,165450
"135",2021-03-01,"learning_disability",21085,2680,18435,365,335,21085,21065,167405
"136",2021-04-01,"learning_disability",20645,2615,18070,365,305,20645,20635,170455
"137",2021-05-01,"learning_disability",20745,2590,18205,345,290,20745,20730,171660
"138",2021-06-01,"learning_disability",21420,2675,18770,380,315,21420,21400,172815
"139",2021-07-01,"learning_disability",21450,2650,18805,355,350,21450,21435,174045
"140",2021-08-01,"learning_disability",21215,2625,18585,360,345,21215,21190,175225
"141",2021-09-01,"learning_disability",21675,2660,19020,365,350,21675,21645,176185
"142",2021-10-01,"learning_disability",21695,2650,19070,345,345,21695,21670,177485
"143",2021-11-01,"learning_disability",22000,2665,19335,365,365,22000,21975,178610
"144",2021-12-01,"learning_disability",22310,2675,19625,375,370,22310,22285,179660
"145",2019-01-01,"autism",11370,1020,10395,95,190,11370,11370,203115
"146",2019-02-01,"autism",10780,955,9855,85,190,10780,10780,206370
"147",2019-03-01,"autism",11510,1005,10525,90,205,11510,11510,209380
"148",2019-04-01,"autism",11645,1025,10650,95,190,11645,11645,212695
"149",2019-05-01,"autism",11900,1035,10885,85,200,11900,11900,215690
"150",2019-06-01,"autism",11760,1000,10795,90,195,11760,11760,218790
"151",2019-07-01,"autism",12215,1055,11205,95,185,12215,12215,222240
"152",2019-08-01,"autism",12120,1035,11110,95,200,12120,12120,225895
"153",2019-09-01,"autism",12145,1040,11120,100,205,12145,12145,228980
"154",2019-10-01,"autism",12680,1075,11630,110,195,12680,12680,233085
"155",2019-11-01,"autism",12695,1075,11630,100,215,12695,12695,236855
"156",2019-12-01,"autism",12805,1070,11755,100,200,12805,12805,240240
"157",2020-01-01,"autism",13090,1080,12010,110,230,13090,13090,243375
"158",2020-02-01,"autism",12785,1055,11745,100,200,12785,12785,247190
"159",2020-03-01,"autism",13895,1100,12795,110,225,13895,13895,250660
"160",2020-04-01,"autism",13135,1070,12105,105,180,13135,13135,253930
"161",2020-05-01,"autism",13335,1055,12310,105,190,13335,13325,255685
"162",2020-06-01,"autism",13575,1070,12545,105,185,13575,13575,257425
"163",2020-07-01,"autism",13945,1065,12865,100,235,13945,13945,259625
"164",2020-08-01,"autism",13590,1080,12530,110,200,13590,13590,262225
"165",2020-09-01,"autism",14150,1085,13060,105,235,14150,14150,264590
"166",2020-10-01,"autism",14455,1095,13340,110,250,14455,14455,268285
"167",2020-11-01,"autism",14265,1095,13170,100,250,14265,14265,271725
"168",2020-12-01,"autism",14885,1125,13765,105,235,14885,14885,275415
"169",2021-01-01,"autism",14785,1120,13665,100,240,14785,14785,278445
"170",2021-02-01,"autism",14695,1110,13565,105,250,14695,14695,282085
"171",2021-03-01,"autism",15630,1170,14435,110,280,15630,15630,285925
"172",2021-04-01,"autism",15195,1125,14050,125,260,15195,15195,290770
"173",2021-05-01,"autism",15305,1140,14160,115,270,15305,15305,294820
"174",2021-06-01,"autism",16080,1180,14885,125,270,16080,16080,299235
"175",2021-07-01,"autism",16125,1175,14885,135,305,16125,16125,303980
"176",2021-08-01,"autism",15880,1165,14640,135,305,15880,15880,308355
"177",2021-09-01,"autism",16470,1185,15165,130,355,16470,16470,312230
"178",2021-10-01,"autism",16545,1175,15320,135,305,16545,16545,317330
"179",2021-11-01,"autism",16800,1190,15540,130,335,16800,16800,321510
"180",2021-12-01,"autism",17070,1215,15800,120,340,17070,17070,325345
"181",2019-01-01,"serious_mental_illness",102325,8455,92075,4290,910,102325,102275,258850
"182",2019-02-01,"serious_mental_illness",96560,7985,86910,4000,810,96560,96500,260705
"183",2019-03-01,"serious_mental_illness",102205,8330,92110,4205,915,102205,102135,262345
"184",2019-04-01,"serious_mental_illness",101895,8325,91870,4095,875,101895,101835,264185
"185",2019-05-01,"serious_mental_illness",103890,8370,93740,4185,915,103890,103815,266005
"186",2019-06-01,"serious_mental_illness",101670,8255,91740,4080,865,101670,101615,267695
"187",2019-07-01,"serious_mental_illness",106175,8415,95910,4270,970,106175,106095,269660
"188",2019-08-01,"serious_mental_illness",105060,8360,94855,4255,900,105060,104990,271880
"189",2019-09-01,"serious_mental_illness",103450,8155,93520,4170,870,103450,103395,273845
"190",2019-10-01,"serious_mental_illness",108075,8545,97710,4310,970,108075,107990,276190
"191",2019-11-01,"serious_mental_illness",106915,8385,96770,4140,960,106915,106840,278570
"192",2019-12-01,"serious_mental_illness",107535,8470,97360,4140,870,107535,107445,280500
"193",2020-01-01,"serious_mental_illness",109825,8455,99485,4355,945,109825,109740,282265
"194",2020-02-01,"serious_mental_illness",106495,8175,96610,4060,905,106495,106415,284245
"195",2020-03-01,"serious_mental_illness",114470,8770,103900,4365,940,114470,114345,285880
"196",2020-04-01,"serious_mental_illness",107220,8200,97310,4135,910,107220,106950,287620
"197",2020-05-01,"serious_mental_illness",108960,8225,99075,4030,945,108960,108835,287785
"198",2020-06-01,"serious_mental_illness",110445,8235,100480,4190,975,110445,110355,288285
"199",2020-07-01,"serious_mental_illness",112880,8330,102750,4225,1015,112880,112795,289540
"200",2020-08-01,"serious_mental_illness",109340,7935,99670,4045,925,109340,109265,291275
"201",2020-09-01,"serious_mental_illness",114425,8290,104270,4230,995,114425,114330,293125
"202",2020-10-01,"serious_mental_illness",115260,8315,105075,4280,1020,115260,115150,295545
"203",2020-11-01,"serious_mental_illness",113620,8175,103625,4175,1005,113620,113515,297810
"204",2020-12-01,"serious_mental_illness",117215,8375,106955,4295,1050,117215,117085,299960
"205",2021-01-01,"serious_mental_illness",115885,8205,105850,4200,1045,115885,115750,301580
"206",2021-02-01,"serious_mental_illness",114315,8080,104400,4140,1015,114315,114210,303395
"207",2021-03-01,"serious_mental_illness",120505,8460,110075,4425,1045,120505,120415,305160
"208",2021-04-01,"serious_mental_illness",117210,8195,107135,4265,980,117210,117135,307540
"209",2021-05-01,"serious_mental_illness",116855,8105,106925,4185,955,116855,116770,309405
"210",2021-06-01,"serious_mental_illness",121325,8405,110945,4390,1055,121325,121230,311605
"211",2021-07-01,"serious_mental_illness",121390,8405,111120,4310,1075,121390,121295,313835
"212",2021-08-01,"serious_mental_illness",118380,8145,108240,4245,1100,118380,118290,315885
"213",2021-09-01,"serious_mental_illness",121860,8370,111600,4265,1130,121860,121765,317520
"214",2021-10-01,"serious_mental_illness",121590,8350,111290,4300,1070,121590,121500,319770
"215",2021-11-01,"serious_mental_illness",123325,8390,113075,4260,1055,123325,123220,321730
"216",2021-12-01,"serious_mental_illness",124430,8425,114015,4390,1100,124430,124305,323440
