"","date","group","antipsychotic_any","antipsychotics_first_gen","antipsychotics_second_gen","antipsychotics_injectable_and_depot","prochlorperazine","alive_2weeks_post_antipsychotic","antipsychotic_without_midazolam","population"
"1",2019-01-01,"All",263025,23135,184375,4640,56460,263025,260965,29945665
"2",2019-02-01,"All",245350,21705,173895,4330,50610,245350,243420,30095705
"3",2019-03-01,"All",261065,22750,184270,4520,55055,261065,259065,30218480
"4",2019-04-01,"All",257250,22535,183890,4410,51800,257250,255190,30349575
"5",2019-05-01,"All",263415,23010,187850,4515,53535,263415,261175,30465500
"6",2019-06-01,"All",257460,22320,183815,4400,52335,257460,255550,30579625
"7",2019-07-01,"All",270375,23210,192575,4610,55675,270375,268120,30701915
"8",2019-08-01,"All",266035,22890,190050,4590,54075,266035,263845,30840705
"9",2019-09-01,"All",261820,22320,187695,4500,52775,261820,259770,30978900
"10",2019-10-01,"All",275185,23605,196305,4680,56365,275185,272740,31227000
"11",2019-11-01,"All",270640,23090,194810,4465,53865,270640,268210,31423635
"12",2019-12-01,"All",269750,23330,195850,4455,51725,269750,267220,31559790
"13",2020-01-01,"All",278295,23365,200415,4710,55580,278295,275945,31667475
"14",2020-02-01,"All",267365,22590,194770,4390,51095,267365,265080,31821245
"15",2020-03-01,"All",286070,24615,210045,4690,52665,286070,282880,31951135
"16",2020-04-01,"All",267640,25160,197490,4465,46475,267640,262210,32061915
"17",2020-05-01,"All",269215,23485,199950,4355,47155,269215,266070,32055590
"18",2020-06-01,"All",276310,23135,203945,4510,50565,276310,273635,32071535
"19",2020-07-01,"All",284190,23440,208620,4555,53410,284190,281495,32126130
"20",2020-08-01,"All",273235,22325,202530,4355,49535,273235,270865,32212635
"21",2020-09-01,"All",288605,23250,212080,4565,54460,288605,285995,32313835
"22",2020-10-01,"All",292500,23680,214390,4605,55695,292500,289600,32509810
"23",2020-11-01,"All",287805,23205,211320,4490,54495,287805,284850,32664405
"24",2020-12-01,"All",297050,23965,218995,4615,55400,297050,293820,32808345
"25",2021-01-01,"All",296265,24070,216900,4535,56680,296265,292500,32917470
"26",2021-02-01,"All",289895,23070,213870,4480,54255,289895,287005,33080825
"27",2021-03-01,"All",307200,23835,226140,4775,58550,307200,304395,33233100
"28",2021-04-01,"All",293555,22715,220130,4605,51900,293555,291190,33451935
"29",2021-05-01,"All",294835,22485,220135,4500,53400,294835,292425,33606855
"30",2021-06-01,"All",307205,23485,228765,4730,56205,307205,304570,33777070
"31",2021-07-01,"All",310505,23555,229850,4680,58470,310505,307730,33978345
"32",2021-08-01,"All",301860,22760,224210,4580,56075,301860,299315,34129845
"33",2021-09-01,"All",314745,23465,232495,4630,60155,314745,312080,34284585
"34",2021-10-01,"All",312250,23440,232340,4645,57810,312250,309460,34545910
"35",2021-11-01,"All",318520,23705,236940,4630,59395,318520,315765,34758255
"36",2021-12-01,"All",320060,24105,239750,4755,57630,320060,316880,34926460
"37",2019-01-01,"dementia",18275,1850,15565,150,955,18275,17605,212530
"38",2019-02-01,"dementia",17255,1750,14745,125,855,17255,16625,212785
"39",2019-03-01,"dementia",17900,1840,15240,130,915,17900,17275,213520
"40",2019-04-01,"dementia",18080,1845,15460,130,880,18080,17445,214710
"41",2019-05-01,"dementia",18355,1860,15675,145,920,18355,17710,215950
"42",2019-06-01,"dementia",18000,1750,15480,135,865,18000,17505,217450
"43",2019-07-01,"dementia",18785,1870,16110,140,920,18785,18105,219300
"44",2019-08-01,"dementia",18770,1845,16140,140,905,18770,18120,221335
"45",2019-09-01,"dementia",18625,1780,16100,125,870,18625,18025,223185
"46",2019-10-01,"dementia",19410,1910,16680,140,955,19410,18650,225240
"47",2019-11-01,"dementia",19260,1885,16600,140,890,19260,18470,227495
"48",2019-12-01,"dementia",19075,1890,16435,125,875,19075,18265,228895
"49",2020-01-01,"dementia",19360,1865,16750,130,885,19360,18610,230355
"50",2020-02-01,"dementia",18820,1775,16320,115,865,18820,18120,230270
"51",2020-03-01,"dementia",19785,2035,16985,125,920,19785,18775,231255
"52",2020-04-01,"dementia",20015,2910,16435,120,950,20015,17830,232430
"53",2020-05-01,"dementia",18485,2000,15735,110,950,18485,17425,226345
"54",2020-06-01,"dementia",18475,1755,15975,115,890,18475,17730,219925
"55",2020-07-01,"dementia",18955,1755,16460,125,870,18955,18275,217215
"56",2020-08-01,"dementia",18610,1655,16210,115,855,18610,18005,217535
"57",2020-09-01,"dementia",19280,1710,16835,115,855,19280,18600,218505
"58",2020-10-01,"dementia",19855,1845,17240,115,900,19855,19045,221255
"59",2020-11-01,"dementia",19720,1815,17155,115,895,19720,18870,223505
"60",2020-12-01,"dementia",20420,1920,17690,115,965,20420,19450,225465
"61",2021-01-01,"dementia",20385,2240,17385,105,945,20385,19045,226350
"62",2021-02-01,"dementia",19380,1795,16825,120,890,19380,18550,225540
"63",2021-03-01,"dementia",20110,1765,17540,120,955,20110,19370,224160
"64",2021-04-01,"dementia",19830,1605,17495,110,850,19830,19240,225145
