"","date","antipsychotic_any","antipsychotics_first_gen","antipsychotics_second_gen","antipsychotics_injectable_and_depot","prochlorperazine","population","group"
"1",2019-01-01,3835820,236620,457155,30915,3359440,30234405,"All"
"2",2019-02-01,3856925,236790,460725,31235,3377965,30387310,"All"
"3",2019-03-01,3876055,237105,464105,31530,3394410,30512340,"All"
"4",2019-04-01,3897590,237575,468240,31840,3412635,30645710,"All"
"5",2019-05-01,3916840,238290,472060,32130,3428745,30764125,"All"
"6",2019-06-01,3936835,239165,476125,32425,3445270,30880595,"All"
"7",2019-07-01,3957105,239960,480285,32690,3462135,31005355,"All"
"8",2019-08-01,3979790,240755,485035,33050,3481050,31147040,"All"
"9",2019-09-01,4001750,241940,489335,33380,3499260,31287965,"All"
"10",2019-10-01,4026035,242780,494060,33740,3519675,31540855,"All"
"11",2019-11-01,4050490,243815,499170,34160,3539755,31741275,"All"
"12",2019-12-01,4071055,244520,503380,34515,3556885,31879025,"All"
"13",2020-01-01,4090495,245545,507665,34815,3572505,31988880,"All"
"14",2020-02-01,4110910,245420,511605,35170,3590270,32146070,"All"
"15",2020-03-01,4130090,246065,515735,35490,3606180,32278600,"All"
"16",2020-04-01,4148745,247525,520705,35880,3620235,32391215,"All"
"17",2020-05-01,4152830,248305,521950,36040,3623220,32386065,"All"
"18",2020-06-01,4157180,247040,523060,36240,3627765,32402965,"All"
"19",2020-07-01,4168980,246455,526290,36605,3637735,32459120,"All"
"20",2020-08-01,4186885,246810,530710,37005,3652200,32548055,"All"
"21",2020-09-01,4203955,247275,534950,37360,3665850,32651570,"All"
"22",2020-10-01,4227780,248225,540650,37775,3684775,32851370,"All"
"23",2020-11-01,4249475,249425,545845,38255,3701880,33008745,"All"
"24",2020-12-01,4270445,250585,550910,38700,3718420,33155355,"All"
"25",2021-01-01,4288175,251385,555240,39135,3732445,33266435,"All"
"26",2021-02-01,4307185,252060,559205,39475,3748070,33432105,"All"
"27",2021-03-01,4323810,251750,562850,39950,3762140,33585275,"All"
"28",2021-04-01,4346350,251995,568060,40375,3780745,33804795,"All"
"29",2019-01-01,86370,12515,32700,720,54985,217615,"dementia"
"30",2019-02-01,86710,12450,32685,715,55485,217950,"dementia"
"31",2019-03-01,87010,12460,32675,715,55840,218725,"dementia"
"32",2019-04-01,87645,12485,32860,720,56345,220010,"dementia"
"33",2019-05-01,88350,12575,32990,725,56955,221415,"dementia"
"34",2019-06-01,89100,12700,33185,740,57550,222985,"dementia"
"35",2019-07-01,90055,12795,33505,745,58295,224955,"dementia"
"36",2019-08-01,91090,12890,33825,755,59120,227085,"dementia"
"37",2019-09-01,92160,13100,34240,755,59820,229040,"dementia"
"38",2019-10-01,93200,13195,34615,765,60565,231235,"dementia"
"39",2019-11-01,94265,13320,34970,775,61345,233620,"dementia"
"40",2019-12-01,95085,13440,35160,785,62020,235120,"dementia"
"41",2020-01-01,95955,13590,35430,785,62610,236640,"dementia"
"42",2020-02-01,96005,13480,35330,785,62935,236620,"dementia"
"43",2020-03-01,96635,13505,35460,790,63495,237695,"dementia"
"44",2020-04-01,97560,13785,35785,800,64045,238960,"dementia"
"45",2020-05-01,95730,14215,34700,765,62855,232940,"dementia"
"46",2020-06-01,92985,13415,33500,745,61565,226410,"dementia"
"47",2020-07-01,91955,12940,33280,740,61010,223685,"dementia"
"48",2020-08-01,92365,12910,33530,750,61305,224085,"dementia"
"49",2020-09-01,92900,12890,33825,755,61680,225170,"dementia"
"50",2020-10-01,94375,13100,34425,770,62660,227975,"dementia"
"51",2020-11-01,95640,13365,34960,780,63445,230355,"dementia"
"52",2020-12-01,96660,13560,35320,780,64170,232430,"dementia"
"53",2021-01-01,97390,13715,35655,775,64595,233330,"dementia"
"54",2021-02-01,97260,13965,35460,760,64470,232460,"dementia"
"55",2021-03-01,96640,13610,35095,760,64305,231085,"dementia"
"56",2021-04-01,97130,13495,35255,770,64845,232095,"dementia"
"57",2019-01-01,55620,13130,29425,2295,24790,128365,"care_home"
"58",2019-02-01,55875,13025,29510,2320,25110,128590,"care_home"
"59",2019-03-01,56065,13075,29610,2345,25195,128650,"care_home"
"60",2019-04-01,56670,13175,29890,2375,25565,129420,"care_home"
"61",2019-05-01,57095,13270,30100,2420,25800,130050,"care_home"
"62",2019-06-01,57460,13355,30265,2445,26050,130460,"care_home"
"63",2019-07-01,57835,13405,30465,2470,26350,131005,"care_home"
"64",2019-08-01,58535,13550,30790,2510,26815,132045,"care_home"
"65",2019-09-01,59445,13800,31225,2540,27315,133415,"care_home"
"66",2019-10-01,60390,13905,31725,2585,27845,135210,"care_home"
"67",2019-11-01,61345,14115,32150,2620,28365,136960,"care_home"
"68",2019-12-01,61815,14275,32430,2665,28545,137720,"care_home"
"69",2020-01-01,62470,14430,32735,2705,28910,138655,"care_home"
"70",2020-02-01,62350,14320,32740,2725,28970,138275,"care_home"
"71",2020-03-01,63000,14395,33015,2765,29420,139360,"care_home"
"72",2020-04-01,63960,14720,33415,2800,29930,140800,"care_home"
"73",2020-05-01,63430,15185,32825,2805,29625,138295,"care_home"
"74",2020-06-01,62580,14760,32530,2860,29375,136215,"care_home"
"75",2020-07-01,64505,14845,33660,3045,30375,140610,"care_home"
"76",2020-08-01,66860,15155,34830,3175,31660,145520,"care_home"
"77",2020-09-01,68585,15420,35765,3265,32520,149340,"care_home"
"78",2020-10-01,70555,15810,36725,3335,33550,153320,"care_home"
"79",2020-11-01,72555,16305,37800,3470,34425,157130,"care_home"
"80",2020-12-01,74810,16875,38930,3595,35485,161435,"care_home"
"81",2021-01-01,78270,17540,40510,3755,37360,168845,"care_home"
"82",2021-02-01,80090,18225,41380,3835,38105,172655,"care_home"
"83",2021-03-01,79900,18015,41530,3925,37900,171985,"care_home"
"84",2021-04-01,80365,17970,41955,3970,38140,172825,"care_home"
"85",2019-01-01,39735,10630,25295,1725,13235,141260,"learning_disability"
"86",2019-02-01,40125,10690,25585,1750,13360,142510,"learning_disability"
"87",2019-03-01,40430,10730,25800,1745,13480,143595,"learning_disability"
"88",2019-04-01,40775,10750,26060,1765,13605,144825,"learning_disability"
"89",2019-05-01,41070,10785,26280,1790,13695,145670,"learning_disability"
"90",2019-06-01,41355,10825,26495,1810,13785,146520,"learning_disability"
"91",2019-07-01,41650,10875,26730,1820,13875,147370,"learning_disability"
"92",2019-08-01,41990,10920,26950,1840,14025,148420,"learning_disability"
"93",2019-09-01,42305,10960,27185,1855,14130,149400,"learning_disability"
"94",2019-10-01,42635,10995,27420,1870,14265,150465,"learning_disability"
"95",2019-11-01,43000,11025,27680,1890,14395,151595,"learning_disability"
"96",2019-12-01,43355,11070,27950,1920,14515,152705,"learning_disability"
"97",2020-01-01,43660,11090,28170,1945,14630,153580,"learning_disability"
"98",2020-02-01,44035,11135,28465,1975,14760,154695,"learning_disability"
"99",2020-03-01,44380,11180,28710,1990,14900,155845,"learning_disability"
"100",2020-04-01,44680,11235,28930,2005,14985,156740,"learning_disability"
"101",2020-05-01,44795,11245,29035,2015,15015,156885,"learning_disability"
"102",2020-06-01,44890,11235,29145,2015,15045,157170,"learning_disability"
"103",2020-07-01,45135,11280,29330,2045,15115,157930,"learning_disability"
"104",2020-08-01,45555,11320,29640,2060,15250,159120,"learning_disability"
"105",2020-09-01,45905,11355,29875,2080,15385,160330,"learning_disability"
"106",2020-10-01,46355,11410,30215,2105,15510,162070,"learning_disability"
"107",2020-11-01,46830,11485,30540,2140,15670,163820,"learning_disability"
"108",2020-12-01,47335,11570,30895,2170,15855,165825,"learning_disability"
"109",2021-01-01,47720,11605,31175,2185,15995,167045,"learning_disability"
"110",2021-02-01,48145,11650,31485,2205,16140,168575,"learning_disability"
"111",2021-03-01,48640,11680,31825,2230,16325,170565,"learning_disability"
"112",2021-04-01,49320,11735,32275,2265,16585,173645,"learning_disability"
"113",2019-01-01,30985,4595,23175,595,8225,207470,"autism"
"114",2019-02-01,31490,4650,23535,615,8390,210785,"autism"
"115",2019-03-01,31975,4695,23890,620,8555,213850,"autism"
"116",2019-04-01,32505,4745,24270,635,8740,217255,"autism"
"117",2019-05-01,32980,4790,24605,655,8905,220330,"autism"
"118",2019-06-01,33455,4835,24950,665,9070,223495,"autism"
"119",2019-07-01,33925,4885,25280,675,9230,227035,"autism"
"120",2019-08-01,34485,4950,25665,690,9435,230790,"autism"
"121",2019-09-01,35000,4990,26055,700,9600,233965,"autism"
"122",2019-10-01,35605,5045,26480,720,9810,238195,"autism"
"123",2019-11-01,36190,5080,26915,745,10000,242040,"autism"
"124",2019-12-01,36745,5135,27295,765,10195,245490,"autism"
"125",2020-01-01,37295,5180,27715,770,10365,248695,"autism"
"126",2020-02-01,37870,5220,28140,790,10565,252610,"autism"
"127",2020-03-01,38360,5255,28505,810,10730,256160,"autism"
"128",2020-04-01,38945,5305,28925,825,10925,259515,"autism"
"129",2020-05-01,39330,5360,29220,845,11030,261315,"autism"
"130",2020-06-01,39685,5380,29490,855,11145,263075,"autism"
"131",2020-07-01,40105,5415,29810,875,11275,265315,"autism"
"132",2020-08-01,40675,5475,30230,895,11465,267990,"autism"
"133",2020-09-01,41145,5510,30580,915,11625,270405,"autism"
"134",2020-10-01,41770,5550,31045,935,11815,274170,"autism"
"135",2020-11-01,42365,5615,31480,955,12020,277685,"autism"
"136",2020-12-01,43005,5690,31945,975,12225,281450,"autism"
"137",2021-01-01,43540,5755,32335,985,12390,284525,"autism"
"138",2021-02-01,44180,5830,32795,1000,12620,288250,"autism"
"139",2021-03-01,44830,5875,33280,1030,12820,292175,"autism"
"140",2021-04-01,45580,5970,33810,1055,13100,297070,"autism"
"141",2019-01-01,218200,56595,194465,28350,40060,264705,"serious_mental_illness"
"142",2019-02-01,219855,56790,196055,28655,40440,266630,"serious_mental_illness"
"143",2019-03-01,221340,56930,197440,28920,40785,268325,"serious_mental_illness"
"144",2019-04-01,223100,57115,199085,29230,41210,270235,"serious_mental_illness"
"145",2019-05-01,224790,57300,200700,29510,41570,272150,"serious_mental_illness"
"146",2019-06-01,226400,57490,202260,29795,41925,273920,"serious_mental_illness"
"147",2019-07-01,228210,57720,203990,30045,42305,276005,"serious_mental_illness"
"148",2019-08-01,230210,57960,205875,30400,42790,278330,"serious_mental_illness"
"149",2019-09-01,231975,58205,207520,30710,43220,280355,"serious_mental_illness"
"150",2019-10-01,234050,58490,209490,31045,43650,282805,"serious_mental_illness"
"151",2019-11-01,236145,58775,211475,31425,44085,285295,"serious_mental_illness"
"152",2019-12-01,237915,58965,213175,31760,44485,287305,"serious_mental_illness"
"153",2020-01-01,239580,59200,214770,32050,44810,289140,"serious_mental_illness"
"154",2020-02-01,241340,59345,216490,32380,45215,291185,"serious_mental_illness"
"155",2020-03-01,242960,59535,218065,32680,45600,292910,"serious_mental_illness"
"156",2020-04-01,244655,59775,219775,33055,45930,294730,"serious_mental_illness"
"157",2020-05-01,245070,59790,220270,33205,46100,294945,"serious_mental_illness"
"158",2020-06-01,245575,59685,220865,33395,46225,295480,"serious_mental_illness"
"159",2020-07-01,246815,59775,222120,33745,46520,296785,"serious_mental_illness"
"160",2020-08-01,248535,59915,223750,34120,46870,298580,"serious_mental_illness"
"161",2020-09-01,250195,60110,225335,34455,47225,300510,"serious_mental_illness"
"162",2020-10-01,252390,60310,227415,34845,47670,303030,"serious_mental_illness"
"163",2020-11-01,254435,60590,229330,35285,48065,305365,"serious_mental_illness"
"164",2020-12-01,256410,60860,231210,35690,48450,307590,"serious_mental_illness"
"165",2021-01-01,257985,61055,232710,36095,48755,309240,"serious_mental_illness"
"166",2021-02-01,259585,61180,234225,36410,49125,311100,"serious_mental_illness"
"167",2021-03-01,261180,61305,235715,36870,49440,312885,"serious_mental_illness"
"168",2021-04-01,263225,61545,237615,37260,49885,315255,"serious_mental_illness"
