date,population,group,variable,value,est,se,rate,lci,uci
2019-01-01,53715445,All,Any antipsychotic,480320,-4.717003307085533,0.001442894788178768,8.941934670745063,8.929041703646796,8.954846254466041
2019-02-01,53906125,All,Any antipsychotic,446505,-4.793548788342462,0.0014965348568081703,8.283010511328717,8.270623968137787,8.295415605290767
2019-03-01,54048865,All,Any antipsychotic,475015,-4.734297441288534,0.0014509295909862728,8.788621185662276,8.775878761535582,8.801382111568339
2019-04-01,54198990,All,Any antipsychotic,466210,-4.7557813761747045,0.001464566876467912,8.60182080883795,8.58923208776615,8.614427980441368
2019-05-01,54341095,All,Any antipsychotic,477360,-4.734765110465217,0.0014473614047747238,8.784511979377656,8.771806812480989,8.797235548556698
2019-06-01,54477825,All,Any antipsychotic,466220,-4.760891391394588,0.0014645511695620531,8.55797748900585,8.545453066632607,8.570520267474969
2019-07-01,54628685,All,Any antipsychotic,489050,-4.715849656340302,0.0014299582851503656,8.952256493086011,8.939464288082466,8.96506700349395
2019-08-01,54802520,All,Any antipsychotic,481020,-4.735582607997355,0.0014418445261550848,8.777333597068171,8.764687165951644,8.78999827552393
2019-09-01,54965795,All,Any antipsychotic,471530,-4.758483634885383,0.0014562815103476366,8.578607841476675,8.566124065644825,8.591109810444397
2019-10-01,55242945,All,Any antipsychotic,495415,-4.714100123759301,0.001420742669966364,8.967932466308586,8.955200388636992,8.980682645842203
2019-11-01,55494190,All,Any antipsychotic,486160,-4.737495821742917,0.001434202213131749,8.760556735759186,8.748001331546883,8.773130159879004
2019-12-01,55660235,All,Any antipsychotic,481990,-4.7490978901860785,0.0014403929467022244,8.65950350371319,8.64703939470682,8.671985578870311
2020-01-01,55778410,All,Any antipsychotic,499005,-4.716526040193368,0.0014156228085166562,8.946203378690774,8.933547888951688,8.958876796516494
2020-02-01,55968765,All,Any antipsychotic,477740,-4.763482394797972,0.0014467856661450136,8.535832441541286,8.52349185076377,8.548190899430473
2020-03-01,56123205,All,Any antipsychotic,509345,-4.702179055795302,0.0014011801505624227,9.075479563221657,9.062772086212165,9.088204858175859
2020-04-01,56251430,All,Any antipsychotic,475960,-4.772252924878796,0.0014494884932885006,8.461296006163764,8.449040339334326,8.473569450322154
2020-05-01,56235655,All,Any antipsychotic,476750,-4.770314020840221,0.0014482870557695946,8.477717561927555,8.465448280185718,8.490004625985165
2020-06-01,56251175,All,Any antipsychotic,490545,-4.742065190820844,0.001427777630042447,8.720617835982988,8.708175617390978,8.733077831984442
2020-07-01,56310875,All,Any antipsychotic,503855,-4.716354428843034,0.0014087930928937261,8.94773878047537,8.93514214299573,8.960353176517017
2020-08-01,56412780,All,Any antipsychotic,483255,-4.759906542915494,0.0014385064778079336,8.566409951787518,8.554095974571759,8.578741655486047
2020-09-01,56521395,All,Any antipsychotic,510330,-4.707316942732942,0.001399827271971288,9.028970357154128,9.016340200291795,9.041618206434762
2020-10-01,56729040,All,Any antipsychotic,515685,-4.70054541395849,0.001392540229479951,9.090317763177389,9.077667939731608,9.102985214281976
2020-11-01,56911960,All,Any antipsychotic,505290,-4.724128269470113,0.0014067912172823999,8.878450153535393,8.865968809217552,8.89094906885527
2020-12-01,57076265,All,Any antipsychotic,519725,-4.69884380943874,0.001387117324900309,9.105799056753277,9.093177001284339,9.118438632642663
2021-01-01,57199740,All,Any antipsychotic,517610,-4.705082568964774,0.0013899483775808926,9.049167006703177,9.03659786895365,9.061753627052466
2021-02-01,57373210,All,Any antipsychotic,506580,-4.729650490709627,0.00140499888689006,8.829556512525613,8.81715970624259,8.841970748549182
2021-03-01,57546145,All,Any antipsychotic,536055,-4.6761056589293295,0.0013658258385482109,9.315219985630648,9.302505702207439,9.327951646415197
2021-04-01,57808130,All,Any antipsychotic,510385,-4.729719359324596,0.0013997518459945943,8.828948454136116,8.816598762507475,8.841315444372462
2021-05-01,57991080,All,Any antipsychotic,512145,-4.729436696527664,0.0013973446337609613,8.831444422142162,8.819112468671609,8.843793619646846
2021-06-01,58191290,All,Any antipsychotic,532325,-4.694236761090047,0.0013706026545604233,9.147846696644821,9.135317222105856,9.160393355888859
2021-07-01,58425630,All,Any antipsychotic,536700,-4.690070663221336,0.0013650048747823526,9.186037018342821,9.173506587028367,9.198584565436008
2021-08-01,58608095,All,Any antipsychotic,519915,-4.724962769280685,0.0013868638446443479,8.871044179136002,8.858749776001897,8.883355644762245
2021-09-01,58785925,All,Any antipsychotic,540465,-4.689227854358708,0.001360242101111282,9.193782355215113,9.181285086969233,9.206296634338244
2021-10-01,59069475,All,Any antipsychotic,534890,-4.7044084542222455,0.0013673124261042045,9.055269240161678,9.042896318760123,9.067659090783543
2021-11-01,59316925,All,Any antipsychotic,544010,-4.691682328376759,0.0013558029000001442,9.171244126360214,9.15881815246626,9.183686958851494
2021-12-01,59519040,All,Any antipsychotic,537530,-4.707066967946877,0.001363950615733929,9.031227654209468,9.018917902544736,9.043554207223062
2019-01-01,364950,Autism,Any antipsychotic,20655,-2.871802937048913,0.006958047678683112,56.59679408138105,56.20435776828786,56.991970506913
2019-02-01,370235,Autism,Any antipsychotic,19425,-2.9475770429067376,0.007174960033294215,52.466676570286424,52.091577532293016,52.844476607077894
2019-03-01,374940,Autism,Any antipsychotic,20875,-2.888213742432126,0.006921285402020119,55.67557475862806,55.29155869119996,56.062257930104835
2019-04-01,380055,Autism,Any antipsychotic,20840,-2.9034417622040043,0.006927094983690869,54.83416873873519,54.455639810081806,55.215328876026035
2019-05-01,384840,Autism,Any antipsychotic,21285,-2.8948250642129483,0.006854301009567719,55.30869971936389,54.93089352089888,55.68910441048849
2019-06-01,389770,Autism,Any antipsychotic,20950,-2.923418175198651,0.0069088853584953185,53.749647227852286,53.379576935743465,54.12228314578587
2019-07-01,395030,Autism,Any antipsychotic,21815,-2.89636390480863,0.006770525705994012,55.22365389970385,54.85102360633425,55.59881565605094
2019-08-01,400790,Autism,Any antipsychotic,21540,-2.923525927631354,0.006813608099854589,53.74385588462781,53.37891102038351,54.1112958307573
2019-09-01,405590,Autism,Any antipsychotic,21505,-2.937057330904992,0.006819150516284131,53.021524199314534,52.661192419825674,53.384321532379815
2019-10-01,411535,Autism,Any antipsychotic,22410,-2.9103867833653516,0.006680040133768432,54.454663637357726,54.09211656145659,54.819640649275414
2019-11-01,417575,Autism,Any antipsychotic,22395,-2.925626449216748,0.00668227687922996,53.631084236364714,53.27390120920763,53.99066205181387
2019-12-01,422965,Autism,Any antipsychotic,22420,-2.937336015662144,0.006678550217360106,53.00674996749144,52.65392122963147,53.36194297595752
2020-01-01,427765,Autism,Any antipsychotic,23015,-2.922427802100414,0.006591655631343537,53.802905801082396,53.44942187613149,54.158727466663834
2020-02-01,433855,Autism,Any antipsychotic,22405,-2.9634262286555093,0.006680785466003237,51.64167751898673,51.297820446986115,51.98783951710184
