date,population,group,variable,value,est,se,rate,lci,uci
2019-01-01,53715445,All,Any antipsychotic,53980,-6.902842247940771,0.004304111960701477,1.004925119767694,1.0006091045095233,1.0092597516740893
2019-02-01,53906125,All,Any antipsychotic,48750,-7.008294189360748,0.004529108136573621,0.9043499231302551,0.9002632859316924,0.9084551111281826
2019-03-01,54048865,All,Any antipsychotic,52780,-6.931511492696762,0.00435276586444465,0.9765237438380991,0.9722824021004398,0.9807835873810947
2019-04-01,54198990,All,Any antipsychotic,47150,-7.047083543488297,0.004605312990579858,0.8699424103659492,0.8659452644011422,0.8739580068916875
2019-05-01,54341095,All,Any antipsychotic,49615,-6.998742826312839,0.004489453753127509,0.9130290804776738,0.9089392660312648,0.9171372972341505
2019-06-01,54477825,All,Any antipsychotic,49240,-7.008842715802712,0.00450651662819362,0.9038539993107287,0.899789930508185,0.9079364242369315
2019-07-01,54628685,All,Any antipsychotic,51235,-6.971891497825121,0.004417907613368518,0.9378772342771954,0.9337429185403925,0.9420298554450459
2019-08-01,54802520,All,Any antipsychotic,49490,-7.009720828316476,0.0044951198251922155,0.9030606621739296,0.8990104063007649,0.9071291654138911
2019-09-01,54965795,All,Any antipsychotic,48880,-7.025098046794685,0.0045230813765698924,0.8892803242452865,0.8852671198391281,0.8933117218151178
2019-10-01,55242945,All,Any antipsychotic,53735,-6.935431360625834,0.0043139129114720546,0.972703392261219,0.9685162724668505,0.9769086139426398
2019-11-01,55494190,All,Any antipsychotic,51350,-6.985368673195451,0.004412957816402694,0.9253220922766862,0.9212476816301928,0.9294145228568492
2019-12-01,55660235,All,Any antipsychotic,47130,-7.074111516197854,0.004606290038005845,0.8467445385381488,0.8428531569023551,0.8506538863533551
2020-01-01,55778410,All,Any antipsychotic,53395,-6.9514250473112575,0.004327625833023853,0.957270026162451,0.9531362707928449,0.9614217096436813
2020-02-01,55968765,All,Any antipsychotic,48060,-7.060098815941463,0.004561504595861508,0.8586932372011432,0.8547852240394859,0.862619117502337
2020-03-01,56123205,All,Any antipsychotic,45170,-7.124871492683975,0.004705166049998613,0.8048364308488786,0.8010584368132345,0.8086322428591888
2020-04-01,56251430,All,Any antipsychotic,45780,-7.113739427441328,0.004673713708091144,0.8138459768933879,0.810051168626302,0.8176585625186724
2020-05-01,56235655,All,Any antipsychotic,42330,-7.191810210787917,0.0048604431273513654,0.7527252950107886,0.7490755932927011,0.756392779076546
2020-06-01,56251175,All,Any antipsychotic,45995,-7.109049513808265,0.004662777459901097,0.8176718086333308,0.8138680618583933,0.8214933328469048
2020-07-01,56310875,All,Any antipsychotic,48635,-7.054299520787173,0.004534459631448021,0.8636875203945968,0.8597800300730062,0.8676127693056863
2020-08-01,56412780,All,Any antipsychotic,42940,-7.180647215111259,0.004825796231575048,0.7611750387057676,0.7575106120720545,0.7648571918535915
